epoch,train_D,train_G,val_MSE,lr
1,0.381899,0.025331,0.010672,5.000000e-04
2,0.421969,0.010687,0.009505,5.000000e-04
3,0.442853,0.009924,0.010078,5.000000e-04
4,0.455603,0.009511,0.009386,5.000000e-04
5,0.461906,0.009282,0.009029,5.000000e-04
6,0.465066,0.009088,0.008856,5.000000e-04
7,0.466814,0.008907,0.008623,5.000000e-04
8,0.467688,0.008817,0.008618,5.000000e-04
9,0.468446,0.008630,0.008500,5.000000e-04
10,0.468999,0.008582,0.008552,5.000000e-04
11,0.469488,0.008468,0.008580,5.000000e-04
12,0.469712,0.008398,0.008462,5.000000e-04
13,0.470018,0.008293,0.008441,5.000000e-04
14,0.470323,0.008233,0.008604,5.000000e-04
15,0.470533,0.008170,0.008468,5.000000e-04
16,0.470729,0.008091,0.008489,5.000000e-04
17,0.470904,0.008044,0.008389,5.000000e-04
18,0.471191,0.007976,0.008341,5.000000e-04
19,0.471152,0.007898,0.008459,5.000000e-04
20,0.471413,0.007853,0.008450,5.000000e-04
21,0.471490,0.007771,0.008402,5.000000e-04
22,0.471388,0.007739,0.008829,5.000000e-04
23,0.473586,0.007418,0.008354,2.500000e-04
24,0.473354,0.007344,0.008346,2.500000e-04
25,0.473258,0.007265,0.008485,2.500000e-04
26,0.473121,0.007215,0.008461,2.500000e-04
27,0.474818,0.007011,0.008437,1.250000e-04
28,0.474435,0.006948,0.008413,1.250000e-04
29,0.474264,0.006916,0.008490,1.250000e-04
30,0.473971,0.006877,0.008589,1.250000e-04
31,0.474449,0.006781,0.008546,6.250000e-05
32,0.474174,0.006751,0.008650,6.250000e-05
33,0.474462,0.006711,0.008549,6.250000e-05
34,0.474643,0.006715,0.008641,6.250000e-05
35,0.473557,0.006638,0.008583,3.125000e-05
36,0.472896,0.006616,0.008577,3.125000e-05
37,0.473668,0.006612,0.008613,3.125000e-05
38,0.473346,0.006617,0.008644,3.125000e-05
39,0.472230,0.006588,0.008609,1.562500e-05
40,0.472297,0.006556,0.008617,1.562500e-05
41,0.472875,0.006546,0.008623,1.562500e-05
42,0.471869,0.006553,0.008603,1.562500e-05
43,0.471697,0.006516,0.008645,7.812500e-06
44,0.471587,0.006523,0.008643,7.812500e-06
45,0.471472,0.006516,0.008640,7.812500e-06
46,0.471433,0.006533,0.008637,7.812500e-06
47,0.471240,0.006528,0.008631,3.906250e-06
48,0.471181,0.006542,0.008644,3.906250e-06
49,0.471135,0.006501,0.008646,3.906250e-06
50,0.470953,0.006496,0.008647,3.906250e-06
51,0.470933,0.006508,0.008634,1.953125e-06
52,0.470911,0.006486,0.008629,1.953125e-06
53,0.470812,0.006521,0.008645,1.953125e-06
54,0.470740,0.006500,0.008643,1.953125e-06
55,0.470692,0.006488,0.008641,9.765625e-07
56,0.470511,0.006498,0.008646,9.765625e-07
57,0.470551,0.006497,0.008641,9.765625e-07
58,0.470471,0.006494,0.008648,9.765625e-07
59,0.470416,0.006492,0.008649,4.882813e-07
60,0.470408,0.006522,0.008644,4.882813e-07
